Scas_3.1	s3	C
Scas_4.1	s4	C
Scas_6.1	s6	C
Scas_7.1	s7	C
Scas_8.1	s8	C
Scas_9.1	s9	C
Scas_10.1	s10	W
Scas_11.1	s11	W
Scas_11.2	s11	C
Scas_14.1	s14	C
Scas_15.1	s15	C
Scas_16.1	s16	C
Scas_17.1	s17	W
Scas_19.1	s19	C
Scas_20.1	s20	W
Scas_21.1	s21	W
Scas_22.1	s22	W
Scas_23.1	s23	C
Scas_24.1	s24	W
Scas_25.1	s25	C
Scas_26.1	s26	C
Scas_27.1	s27	C
Scas_29.1	s29	W
Scas_30.1	s30	W
Scas_30.1d	s30	C
Scas_31.1	s31	C
Scas_33.1	s33	C
Scas_34.1	s34	W
Scas_35.1	s35	C
Scas_36.1	s36	C
Scas_37.1	s37	W
Scas_37.2	s37	C
Scas_39.1	s39	C
Scas_40.1	s40	W
Scas_49.1	s49	W
Scas_50.0d	s50	C
Scas_50.1	s50	C
Scas_52.1	s52	C
Scas_56.1	s56	C
Scas_68.1	s68	C
Scas_69.1	s69	C
Scas_70.1	s70	W
Scas_75.1	s75	C
Scas_76.1	s76	C
Scas_77.1	s77	C
Scas_78.1	s78	W
Scas_80.1	s80	C
Scas_82.1	s82	W
Scas_84.1	s84	W
Scas_85.1	s85	W
Scas_87.1	s87	C
Scas_88.1	s88	C
Scas_89.1	s89	C
Scas_90.1	s90	C
Scas_91.1	s91	W
Scas_92.0d	s92	C
Scas_92.1	s92	C
Scas_93.1	s93	W
Scas_94.1	s94	W
Scas_95.1	s95	C
Scas_96.1	s96	W
Scas_97.1	s97	C
Scas_104.1d	s104	C
Scas_105.1	s105	C
Scas_106.1	s106	W
Scas_108.1	s108	C
Scas_118.1	s118	C
Scas_124.1	s124	W
Scas_126.1	s126	C
Scas_127.1	s127	W
Scas_127.2	s127	C
Scas_131.1	s131	W
Scas_132.1	s132	W
Scas_133.1	s133	C
Scas_141.1	s141	W
Scas_143.1	s143	W
Scas_145.1	s145	C
Scas_150.1	s150	C
Scas_156.1	s156	W
Scas_157.1	s157	W
Scas_159.1	s159	W
Scas_162.1	s162	C
Scas_164.1	s164	W
Scas_167.1	s167	C
Scas_170.1	s170	W
Scas_173.1	s173	C
Scas_175.1	s175	W
Scas_176.1	s176	C
Scas_177.1	s177	W
Scas_178.1	s178	W
Scas_180.1	s180	C
Scas_182.1	s182	C
Scas_183.1	s183	C
Scas_194.1	s194	W
Scas_196.1	s196	C
Scas_198.1	s198	C
Scas_201.1	s201	C
Scas_202.1	s202	W
Scas_203.1	s203	W
Scas_203.2	s203	C
Scas_205.1	s205	W
Scas_207.1	s207	C
Scas_210.1	s210	W
Scas_214.1	s214	C
Scas_215.1	s215	W
Scas_216.1	s216	C
Scas_217.1	s217	W
Scas_219.1	s219	W
Scas_219.2	s219	C
Scas_227.1	s227	C
Scas_233.0d	s233	W
Scas_233.1	s233	W
Scas_234.1	s234	W
Scas_235.1	s235	W
Scas_235.2	s235	C
Scas_236.1	s236	W
Scas_238.1	s238	C
Scas_240.1	s240	W
Scas_241.1	s241	W
Scas_241.2	s241	W
Scas_245.1	s245	W
Scas_246.1	s246	C
Scas_248.1	s248	C
Scas_248.1d	s248	W
Scas_249.1	s249	W
Scas_250.1	s250	W
Scas_251.0d	s251	C
Scas_251.1	s251	W
Scas_253.1	s253	W
Scas_254.1	s254	W
Scas_254.2	s254	C
Scas_255.1	s255	W
Scas_257.1	s257	W
Scas_258.1	s258	W
Scas_259.1	s259	C
Scas_262.1	s262	C
Scas_266.1	s266	C
Scas_271.1	s271	W
Scas_272.1	s272	W
Scas_272.2	s272	C
Scas_273.1	s273	W
Scas_273.2	s273	C
Scas_274.1	s274	W
Scas_275.1	s275	C
Scas_276.1	s276	W
Scas_277.1	s277	C
Scas_280.1	s280	W
Scas_281.1	s281	C
Scas_284.1	s284	W
Scas_287.1	s287	C
Scas_288.1	s288	C
Scas_293.1	s293	W
Scas_296.1	s296	C
Scas_296.2	s296	W
Scas_300.1	s300	C
Scas_305.1	s305	C
Scas_306.1	s306	W
Scas_308.1	s308	W
Scas_309.1	s309	C
Scas_314.1	s314	C
Scas_315.1	s315	C
Scas_316.1	s316	C
Scas_317.1	s317	C
Scas_319.1	s319	W
Scas_320.1	s320	W
Scas_322.1	s322	C
Scas_322.2	s322	C
Scas_325.1	s325	W
Scas_326.1	s326	W
Scas_328.1	s328	W
Scas_328.2	s328	W
Scas_329.1	s329	C
Scas_332.1d	s332	W
Scas_333.1	s333	C
Scas_333.2	s333	W
Scas_333.3	s333	W
Scas_336.1	s336	W
Scas_340.1	s340	C
Scas_341.1	s341	W
Scas_342.0d	s342	W
Scas_342.1	s342	C
Scas_343.0d	s343	W
Scas_343.1	s343	C
Scas_350.1	s350	W
Scas_358.1	s358	W
Scas_358.2	s358	C
Scas_359.1	s359	W
Scas_362.1	s362	C
Scas_362.2	s362	C
Scas_364.1	s364	C
Scas_365.1	s365	W
Scas_365.2	s365	C
Scas_370.1	s370	C
Scas_373.1	s373	C
Scas_373.2	s373	C
Scas_375.1	s375	W
Scas_375.2	s375	W
Scas_375.2d	s375	W
Scas_376.1	s376	W
Scas_377.1	s377	W
Scas_377.2	s377	C
Scas_378.1	s378	W
Scas_378.2	s378	W
Scas_380.0d	s380	C
Scas_380.1	s380	W
Scas_381.1	s381	W
Scas_382.1	s382	C
Scas_383.1	s383	C
Scas_387.1	s387	W
Scas_387.2	s387	W
Scas_387.3	s387	W
Scas_387.4	s387	C
Scas_391.1	s391	W
Scas_392.1	s392	C
Scas_392.2	s392	W
Scas_396.1	s396	C
Scas_398.1	s398	C
Scas_400.1	s400	W
Scas_400.2	s400	C
Scas_400.3	s400	C
Scas_404.1	s404	W
Scas_404.2	s404	C
Scas_405.1	s405	W
Scas_406.1	s406	C
Scas_407.1	s407	W
Scas_407.2	s407	W
Scas_408.1	s408	C
Scas_408.2	s408	W
Scas_412.1	s412	C
Scas_412.2	s412	W
Scas_413.1	s413	W
Scas_413.2	s413	W
Scas_413.3	s413	C
Scas_416.1	s416	W
Scas_416.2	s416	W
Scas_417.1	s417	W
Scas_417.2	s417	C
Scas_417.3	s417	W
Scas_417.4	s417	C
Scas_429.1	s429	C
Scas_429.2	s429	W
Scas_430.1	s430	W
Scas_431.1	s431	W
Scas_431.2	s431	C
Scas_433.1	s433	W
Scas_434.1	s434	W
Scas_436.1	s436	W
Scas_436.2	s436	W
Scas_437.1	s437	W
Scas_437.2	s437	C
Scas_438.1	s438	C
Scas_440.1	s440	W
Scas_441.2	s441	W
